# Male → Female
# Attractiness (1-7), % population, % of total messages, total pop, total msgs
M,1,6 ,1 ,100,100
M,2,16,4 ,94 ,99
M,3,18,10,78 ,95
M,4,20,15,60 ,85
M,5,19,24,40 ,70
M,6,15,28,21 ,46
M,7,6 ,18,6  ,18
# Female → Male
# Attractiness (1-7), % population, % of total messages, total pop, total msgs
F,1,27,11,100,100
F,2,31,22,73 ,89
F,3,23,27,42 ,67
F,4,12,22,19 ,40
F,5,5 ,14,7  ,18
F,6,2 ,4 ,2  ,4
F,7,0 ,0 ,0  ,0
# Conclusion
# 19% of men got 40% of the messages
# 21% of women got 46% of the messages
# 42% of men got 67% of the messages
# 40% of women got 70% of the messages
